,id_mahasiswa,judul,abstrak,kata_kunci,topik_skripsi
0,4453,IMPLEMENTASI ALGORITMA BELLMAN-FORD UNTUK PENCARIAN JALUR TERPENDEK MENUJU RUMAH SAKIT DI KOTA YOGYA BERBASIS ANDROID,"Kota Yogyakarta merupakan Kota Pelajar dan Kota Wisata. Banyak wisatawan maupun pelajar yang datang ke Kota Yogyakarta untuk belajar dan berlibur. Tetapi banyak dari pendatang tersebut yang tidak tahu mengenai lokasi dari rumah sakit di Kota Yogyakarta. Penelitian ini membuat aplikasi pencarian jalur terpendek menuju rumah sakit menggunakan algoritma Bellman-Ford berbasis Android. Algoritma Bellman-Ford merupakan salah satu algoritma untuk pencarian jalur terpendek. Dalam prosesnya, penulis mengambil data berupa koordinat jalan dan koordinat rumah sakit, lalu membuatnya menjadi satu kesatuan graf. Setelah mendapatkan graf, penulis menggunakan algoritma Bellman-Ford untuk mencari jalur terpendek. Hasil pencarian jalur terpendek akan dibandingkan dengan hasil pencarian dari Google Maps. Pengujian pencarian jalur terpendek dilakukan sebanyak 20 kali dan berhasil dilakukan dan menunjukan bahwa algoritma Bellman-Ford mampu memberikan jalur terpendek yang sama sebesar 80% dengan Google Maps, bahkan rata-rata jarak yang dikeluarkan lebih baik sebanyak 30.2m dibanding dengan rata-rata jarak yang dikeluarkan Google Maps. Pengujian ini juga menemukan bahwa semakin banyak jumlah verteks dan edge dalam data akan mempengaruhi lama proses algoritma untuk mencari jalur terpendek karena algoritma Bellman-Ford harus mengecek setiap verteks dan edge.","Bellman-Ford, Android, pencarian jalur terpendek",3
1,4613,IMPLEMENTASI PUSH NOTIFICATION PADA BROADCAST PENGUMUMAN BERBASIS MOBILE DAN WEB SERVICE DI UKDW,"Implementasi Push Notification pada Broadcast Pengumuman Berbasis Mobile dan Web Service di UKDW adalah sebuah aplikasi berbasis Android yang menggunakan layanan cloud computing dari Google bernama Firebase Cloud Messaging untuk melakukan push notification. Aplikasi ini dibangun dengan tujuan membantu distribusi informasi antar civitas academica dan informasi tersebut didapatkan secara real time. Penelitian ini bertujuan untuk membangun dan menganalisis aplikasi yang dibangun dari sisi efektivitas dan efisiensi aplikasi. Aplikasi ini diuji dengan menggunakan task scenario dan pengukuran kuesioner UEQ sebagai alat untuk menguji tingkat efektivitas dan efisiensi aplikasi. Hasil pengujian dengan task scenario menunjukkan bahwa mayoritas pengguna tidak menemukan fitur yang sulit digunakan dan pesan yang dikirimkan melalui notifikasi mudah untuk dipahami. Sedangkan hasil analisis dari kuesioner UEQ menunjukkan bahwa aplikasi ini secara keseluruhan mendapatkan rata-rata predikat Good dan memiliki hasil akhir analisis yang berada di atas 0,8. Maka, aplikasi ini sudah memiliki tingkat efisiensi dan efektivitas yang baik.","push notification, Android, UKDW, broadcast",5
2,4759,PENINGKATAN USABILITAS ANTARMUKA WEB PEMESANAN MAKANAN STUDI KASUS : E-COMMERCE PT. KDM,"Situs web food KDM adalah salah satu situs jual beli produk makanan dan minuman. Sebagai situs yang meraup keuntungan dari penjualan produk makanan dan minuman, tentu saja pengalaman pengguna dalam menggunakan situs perlu untuk diperhatikan. Karena itu, peningkatan usabilitas perlu dilakukan agar mempermudah pengguna ketika menggunakan situs. Dalam penelitian ini, peningkatan usabilitas dilakukan dengan memperbaiki tampilan antarmuka dari situs. Lalu untuk mengetahui besarnya pengingkatan pada usabilitas, maka akan dilakukan pengukuran menggunakan performance based metrics dan system usability scale. Pengukuran task success dilakukan dengan cara melihat apakah respoonden berhasil atau gagal dalam mengerjakan tugas yang diberikan. Pengukuran time on task dilakukan dengan cara memperhatikan seberapa lama waktu yang diperlukan oleh responden untuk menyelesaikan tugas yang diberikan. Pengukuran error dilakukan dengan memperhatikan berapa kali kesalahan dilakukan oleh responden selama mengerjakan tugas yang diberikan. Lalu untuk mengukur efficiency dilakukan dengan menghitung kombinasi antara taks success dan time on task. Mengacu pada pengujian yang telah dilakukan, maka ditemukan hasil bahwa peningkatan usabilitas antarmuka telah berhasil. Hal ini terbukti dengan naiknya tingkat usabilitas dengan mengkombinasikan task success, time on task, error serta system usability scale yang awalnya sebesar 60% menjadi 68%. Untuk nilai efficiency sendiri juga mengalami kenaikan yang awalnya hanya sebesar 52,6325% mengalami kenaikan menjadi 66,9796%","Usability testing, Performance based metrics, System usability scale, Peningkatan usabilitas",5
3,4669,IMPLEMENTASI FRAMEWORK LARAVEL PADA SISTEM INFORMASI PENGELOLAAN BANK SAMPAH GMA KLATEN BERBASIS WEBSITE,"Gereja Maria Assumpta Klaten sudah memiliki bank sampah yang dikelola oleh warga jemaat dengan proses pengolahan data yang masih manual menggunakan Microsoft Excel. Penulis memutuskan untuk melakukan rancang bangun sebuah sistem informasi pengelolaan bank sampah berbasis website dan penambahan halaman request penjemputan sampah pada aplikasi Gematen dengan framework Flutter yang sudah dimiliki gereja. Metode yang digunakan penulis adalah dengan menganalisis kebutuhan pengguna dengan wawancara dan observasi langsung ke lapangan. Melakukan perancangan desain dan implementasi sesuai dengan kebutuhan pengguna. Pengujian website dan halaman request penjemputan sampah aplikasi android Gematen akan dilakukan menggunakan completion rate, time based efficiency, dan SUS Usability secara langsung yang bertujuan agar website dan halaman request penjemputan sampah aplikasi android Gematen sesuai dengan kebutuhan pengguna. Pembangunan sistem web bank sampah dan halaman request penjemputan sampah aplikasi android Gematen memiliki effectiveness 100% dan efficiency responden dari sistem web bank sampah dan halaman request penjemputan sampah aplikasi android Gematen di beberapa task mendekati efficiency expert user.. Hasil pengujian System Usability Scale menunjukan bahwa sistem berada pada grade D.","Bank Sampah, Laravel, Android",5
4,4536,"VISUALISASI REPRESENTASI PENGETAHUAN BERBASIS
SEMANTIC WEB UNTUK SENI PERTUNJUKAN
INDONESIA","Indonesia terdiri dari dari banyak pulau maupun suku dan keanekaragaman budaya yang memiliki karakter masing-masing. Sehingga diperlukan sebuah platform portal sebagai media informasi yang memuat mengenai seni pertunjukan indonesia. Seni pertunjukan merupakan salah satu sarana hiburan masyarakat, atau bagian dari sebuah kegiatan ata upacara terentu. Dalam sebuah petunjukan seni pertunjukan terdapat banyak unsur-unsur pelengkapnya misalnya pakaian adat, lakon cerita, aksesoris dan lainnya. Sehingga semua informasi yang memuat seni pertunjukan dapat dimodelkan untuk membuat sebuah basis informasi pengetahun (knowledge based). Bentuk representasi basis pengetahuan tersebut bisa dimodelkan dalam beberapa bentuk, salah satunya adalah dengan menggunakan semantic web secara khusus adalah pembuatan ontology. Pendekatan ini dipilih karena ontology sebagai salah satu bentuk formal dalam menjelaskan sebuah konsep atau informasi tertentu kerena, memiliki kemampuan untuk menjelaskan relasi antara domain yang berbeda (link data) bahkan sebagai media untuk menambahkan infromasi baru. Dalam pembuatan ontology representasi ilmu pengetahuan dimodelkan dengan bentuk OWL sebagai salah satu standar pemodelan data. Proses pembuatan data terbagi menjadi 2 bagian secara umum yaitu bentuk formal dan informal. Bentuk formal merupakan T-box dan description logic (DL). Bentuk informal merupakan hasil ekstraksi data manual dari literatur yang ada mengenai seni pertunjukan Indonesia. Hasil pemodelan data kemudia diimplementasikan ke dalam bentuk website. Bentuk visualisasi data kemudian yang ditampilkan berupa daftar class, relasi, maupun instance yang ada. Kesimpulan dari penelitian ini yaitu objek seni pertunjukan dapat dimodelkan dalam bentuk standar OWL. Selain itu metodologi Methontology dapat digunakan untuk menerapkan model data pengetahuan objek seni pertunjukan indonesia dalam teknologi semantic web secara khusus pembuatan ontology","Seni Pertunjukan Indonesia, Semantic Web, Methontology,
Ontology",2
5,4653,PERANCANGAN APLIKASI HUMAN RESOURCE INFORMATION SYSTEM (HRIS) PADA CV. ANDI OFFSET BERBASIS WEB,"Pada perusahaan CV Andi Offset dengan jumlah karyawan yang cukup banyak pengelolaan data yang masih bersifat manual dapat menimbulkan beberapa permasalahan seperti data perizinan karyawan yang masih menggunakan kertas sering tercecer, data presensi, data karyawan dan informasi tunjangan terpisah di file excel yang berbeda. Sehingga sulit bagi HR dalam mengelola data karyawan dengan jumlah yang cukup banyak dengan menggunakan cara yang manual. Terkait masalah tersebut, salah satu solusi yang akan diupayakan adalah dengan membuat  aplikasi HRIS berbasis website yang dapat memberikan manfaat bagi HR, salah satunya dapat membantu HR dalam mengelola data pegawai termasuk data keluarga dan mutasi pegawai, melihat informasi presensi dan mengelola tunjangan pegawai dalam satu sistem yang terkomputerisasi. Meskipun demikian, aplikasi yang dibuat tidak akan luput dari kesalahan-kesalahan masukan pada sistem. Sehingga perlu dilakukan pengujian untuk mengidentifikasi kesalahan yang ada. Metode yang digunakan untuk pengujian pada sistem menggunakan metode black box testing dengan tujuan untuk mengetahui apakah fungsi pada sistem sudah berjalan sesuai yang diharapkan atau tidak. Untuk melakukan pengujian dibutuhkan test case atau uji kasus untuk menentukan sebuah sistem dapat bekerja dengan baik.  Berdasarkan pengujian yang telah dilakukan pada aplikasi Human Resource Information System, dapat diambil kesimpulan bahwa pengujian aplikasi yang menggunakan metode black box testing mampu menampilkan pesan kesalahan mulai dari kesalahan masukan hingga kesalahan saat data yang tidak masuk kedalam database. Dari Hasil pengujian fungsionalitas pada aplikasi  HRIS tidak ditemukan adanya kesalahan masukan dan sudah berjalan sesuai yang diharapkan.","HRIS, fungsionalitas, black box testing, test case",3
6,4426,IMPLEMENTASI EKSTRAKSI FITUR KETEBALAN RIDGE SIDIK JARI DENGAN MENGHITUNG BANYAKNYA PIKSEL,"Makalah ini menjelaskan tentang bagaimana kita dapat menggunakan ketebalan ridge sidik jari untuk mengklasifikasikan jenis kelamin. Ketebalan ridge adalah jumlah ridge digital per ridge yang berdekatan. Tujuan utama dari penelitian ini adalah untuk menguji ketebalan ridge sidik jari terhadap jenis kelamin seseorang. Sampel penelitian ini terdiri dari 500 sidik jari untuk data pelatihan dan 200 sidik jari untuk data uji. Total sampel terdiri dari 350 sidik jari pria dan 350 sidik jari wanita. Sebelumnya semua responden telah menyetujui untuk diambil sidik jari nya. Gambar sidik jari yang telah diambil akan melalui pra-pemrosesan gambar. Sebelum dilakukan klasifikasi sidik jari, pertama – tama dilakukan pencarian ketebalan ridge, setelah ketebalan ridge dari data uji sudah ditemukan kemudian hasilnya dihitung dengan perhitungan Euclidean Distance, dan menggunakan pendekatan K-Nearest Neighbor untuk klasifikasi jenis kelamin. Hasil penelitian menunjukkan bahwa sidik jari pria memiliki akurasi untuk kvalue = 3 adalah 60%, untuk k-value = 5 adalah 58%, dan untuk k-value = 7 adalah 60%. Sementara itu hasil akurasi sidik jari wanita untuk k-value = 3 adalah 42%, untuk k-value = 5 adalah 45%, dan untuk k-value = 7 adalah 44%.","ketebalan ridge, K-Nearest Neighbor, ekstraksi fitur, sidik jari",6
7,4454,PENERAPAN METODE GOAL QUESTION METRICS DALAM MEMBANGUN ANTARMUKA SISTEM INFORMASI JAMU TRADISIONAL INDONESIA,"Penelitian ini menjelaskan tentang pembangunan antarmuka yang baru untuk Sistem Informasi Jamu Tradisional Indonesia. Bagi masyarakat di Indonesia, jamu merupakan salah satu pengobatan alternatif yang dikenal ekonomis. Pemanfaatan jamu ini dimungkinkan terjadi perbedaan dalam peracikannya pada tiap orang. Sehingga diperlukan sistem yang dapat menyatukan konsep dan konteks dari masalah ini. Sistem ini memiliki kemampuan untuk memahami informasi-informasi yang akan diolah menjadi pengetahuan kemudian dapat diakses oleh masyarakat luas. Masalah yang dihadapi saat ini, antarmuka sistem ini dinilai kurang attractive. Oleh karena itu, diperlukan perbaikan antarmuka agar mempermudah pengguna dalam mendapatkan informasi yang dibutuhkan. Pembangunan sistem ini menggunakan metode goal question metrics dimana GQM ini berfokus pada pengembangan perangkat lunak dan pengukuran produk. Pada penelitian ini dilakukan pengujian dengan efisiensi yang didapatkan dari angka task on time dan task success, selain efisiensi itu dilakukan evaluasi sistem menggunakan SUS kuesioner. Hal ini menjadi dasar perbaikan antarmuka untuk kemudian dikembangkan dan diuji kembali. Perhitungan time on task mendapatkan angka 62,89 % untuk desain lama dan peningkatan angka menjadi 73 % untuk desain baru. Kemudian untuk task success pada desain lama mendapatkan nilai 68 % dan pada desain baru mendapatkan nilai 83 %. Hasil akhir dari SUS adalah 58 % kemudian mengalami peningkatan untuk desain baru menjadi 71,25 %. Maka dapat disimpulkan bahwa Sistem Informasi Jamu Tradisional Indonesia ini sudah dapat diterima.","usability, goal question metrics(GQM)",5
8,4448,PENGEMBANGAN DASHBOARD POIN KEAKTIFAN MAHASISWA BERBASIS KEY PERFORMANCE INDICATOR,"Program Studi Informatika Universitas Kristen Duta Wacana dituntut untuk dapat menjalankan Tri Darma dan menjamin mutu pendidikannya sesuai standar nasional pengelolaan dan penjaminan mutu pendidikan tinggi yang tercantum dalam Peraturan Pemerintah No 19 Tahun 2015 tentang Standar Pendidikan Nasional. Oleh sebab itu Program Studi Informatika Universitas Kristen Duta Wacana memerlukan alat untuk membantu mengevaluasi dan memonitoring kinerja dalam menjamin ketercapaian ukuran mutu yang ditetapkan. Hal ini lah yang menjadi dasar dan tujuan penelitian dalam membangun dashboard sebagai sarana evaluasi dan monitoring perkembangan Program Studi Informatika Universitas Kristen Duta Wacana. Dashboard yang dibangun berdasarkan data poin keaktifan dan menggunakan key performance indicator sebagai alat ukurnya. Tahapan penelitian yang dilakukan dalam penelitian ini yaitu pengumpulan data melalui studi literature dan wawancara, implementasi dashboard dalam bentuk web, melakukan pengujian menggunakan task success dan system usability scale, serta melakukan analisis dari hasil pengujian. Dari hasil evaluasi dan analisis yang telah dilakukan didapatkan bahwa aplikasi dashboard poin keaktifan yang dibangun dapat diterima dan mudah digunakan oleh pejabat dekanat dan pihak terkait","A General Works > AS Academies and learned societies (General)
L Education > L Education (General)
Q Science > QA Mathematics > QA76 Computer software",9
9,4466,PEMBUATAN APLIKASI MOBILE PENGINGAT MINUM OBAT UNTUK ORANG TUA,"Semakin meningkatnya usia, biasanya orang tua akan semakin rentan terhadap banyak penyakit seperti degeneratif dan kognitif yang mengakibatkan daya tahan tubuh serta daya ingat mereka menurun. Sehingga mereka kesulitan mengingat jenis obat, tujuan obat, dan pembagian konsumsi obat karena berbagai jenis obat yang mulai bermunculan dengan merk yang berbeda. Dengan meningkatnya teknologi dan jumlah pengguna smartphone yangsemakin meningkat setiap tahunnya maka dibuatlah sebuah aplikasi Android yang dapat membantu mengingatkan pengguna meminum obat. Fitur yang digunakan untuk mengingatkan orang tua meminum obat adalah alarm. Alarm disini berbunyi sesuai dengan jadwal yang telah dimasukkan. Sehingga para orang tua ataupun keluarganya tidak perlu lagi merasa cemas atau takut kelupaan. Penelitian ini menggunakan metode User Centered Design untuk menganalisis kebutuhan apa saja yang dibutuhkan pengguna. Selain untuk mengukur tingkat kepuasan pengguna menggunakan System Usability Scale (SUS). Dari hasil pengujian terhadap seluruh responden telah memperoleh ratarata skor SUS 77,2. Dari hasil skor tersebut dapat disimpulkan bahwa untuk penilaian skor acceptability ranges dapat diterima (acceptable), untuk grade scale bernilai C, dan untuk adjective rating mendapatkan nilai good.","Orang Tua, Smartphone, Android, User Centered Design, System Usability Scale",5
