,id_mahasiswa
0,4453
1,4613
2,4759
3,4669
4,4536
5,4653
6,4426
7,4454
8,4448
9,4466
10,4720
11,4430
12,4668
13,4467
14,4554
15,4615
16,4678
17,4812
18,4485
19,4427
20,4595
21,4471
22,4508
23,4732
24,4744
25,4652
26,4456
27,4488
28,4665
29,4537
30,4793
31,4486
32,4515
33,4663
34,4650
35,4632
36,4722
37,4468
38,4491
39,4483
40,4705
41,4802
42,4476
43,4458
44,4786
45,4428
46,4809
47,4731
48,4754
49,4761
50,4558
51,4753
52,4623
53,4568
54,4446
55,4503
56,4477
57,4709
58,4773
59,4580
60,4687
61,4698
62,4541
63,4657
64,4434
65,4671
66,4601
67,4681
68,4675
69,4823
70,4798
71,4672
72,4628
73,4825
74,4778
75,4743
76,4755
77,4742
78,4433
79,4462
80,4479
81,4534
82,4484
83,4546
84,4459
85,4470
86,4540
87,4620
88,4429
89,4818
90,4646
91,4735
92,4682
93,4633
94,4526
95,4572
96,4439
97,4512
98,4449
99,4690
100,4547
101,4736
102,4535
103,4518
104,4566
105,4767
106,4747
107,4730
108,4707
109,0
110,4437
111,4611
112,4603
113,4679
114,4609
115,4498
116,4451
117,4529
118,4506
119,4725
120,4791
121,4644
122,4450
123,4598
124,4464
125,4436
126,4507
127,4753
128,4516
129,4734
130,4711
131,4726
132,4625
133,4738
134,4600
135,4533
136,4478
137,4438
138,4482
139,4552
140,4574
141,4590
142,4487
143,4475
144,4571
145,4597
146,4607
147,4605
148,4599
149,4445
150,4442
151,4444
152,4431
153,4575
154,4460
155,4563
156,4727
157,4549
158,4474
159,4656
160,4781
161,4604
162,4452
163,4435
164,4794
165,4719
166,4441
167,4492
168,4489
169,4739
170,4443
171,4432
172,4721
173,4737
174,4596
175,4440
